pncp,orgao,assinatura,valor_global,duracao_dias,categoria,capital_social,idade_forn_anos,porte,simples,situacao_ativa,consorcio,razao_capital_valor,n_contratos_forn_dataset,n_termos_12m,rescindido_12m,acrescimo_12m,prazo_12m,label_adverso_12m,label_v1_sem_horizonte
00509018000113-2-000598/2025,TSE,2025-03-12,35700.0,49,Serviços,500000,33.92,EMPRESA DE PEQUENO PORTE,0,1,0,14.005602,3,0,0,0.0,0,0,0
00509018000113-2-000599/2025,TSE,2025-03-26,12129.26,364,Serviços,1,14.34,MICRO EMPRESA,1,1,0,8.2e-05,1,0,0,0.0,0,0,0
00509018000113-2-000600/2025,TSE,2025-03-17,144443.52,364,Mão de Obra,500000,17.9,EMPRESA DE PEQUENO PORTE,0,1,0,3.461561,1,1,0,0.0,0,0,0
00509018000113-2-000601/2025,TSE,2025-03-28,0.01,730,Serviços,0,22.83,DEMAIS,0,1,0,,1,0,0,0.0,0,0,0
00509018000113-2-000602/2025,TSE,2025-03-27,794.0,279,Serviços,200000,15.59,MICRO EMPRESA,1,1,0,251.889169,86,0,0,0.0,0,0,0
00509018000113-2-000603/2025,TSE,2025-03-28,198.5,104,Serviços,200000,15.59,MICRO EMPRESA,1,1,0,1007.556675,86,0,0,0.0,0,0,0
00509018000113-2-000607/2025,TSE,2025-03-27,1619.0,19,Compras,50000,25.47,MICRO EMPRESA,1,1,0,30.883261,1,0,0,0.0,0,0,0
00509018000113-2-000608/2025,TSE,2025-03-26,41790.0,44,Serviços,10000,19.99,EMPRESA DE PEQUENO PORTE,1,1,0,0.239292,33,0,0,0.0,0,0,0
00509018000113-2-000614/2025,TSE,2025-03-26,2000.0,86,Serviços,709800,20.12,EMPRESA DE PEQUENO PORTE,1,1,0,354.9,1,0,0,0.0,0,0,0
00509018000113-2-000615/2025,TSE,2025-03-31,2380.0,20,Serviços,1000,3.12,MICRO EMPRESA,1,1,0,0.420168,1,0,0,0.0,0,0,0
00509018000113-2-000622/2025,TSE,2025-03-31,5200.0,275,Serviços,0,50.11,DEMAIS,,1,0,,53,0,0,0.0,0,0,0
00509018000113-2-000623/2025,TSE,2025-03-31,219999.99,1825,Serviços,250000,22.39,EMPRESA DE PEQUENO PORTE,1,1,0,1.136364,3,1,0,0.0,0,0,0
00509018000113-2-000624/2025,TSE,2025-03-31,550000.0,1825,Serviços,250000,22.39,EMPRESA DE PEQUENO PORTE,1,1,0,0.454545,3,1,0,0.0,0,0,0
00509018000113-2-000625/2025,TSE,2025-03-27,29250.0,19,Compras,8235334,38.27,DEMAIS,,1,0,281.54988,1,0,0,0.0,0,0,0
00509018000113-2-000636/2025,TSE,2025-04-01,122100.0,365,Serviços,90000,11.67,EMPRESA DE PEQUENO PORTE,1,1,0,0.737101,1,3,0,0.0,365,0,0
00509018000113-2-000559/2025,TSE,2025-03-25,19000.0,280,Serviços,20000,10.56,EMPRESA DE PEQUENO PORTE,1,1,0,1.052632,50,0,0,0.0,0,0,0
00509018000113-2-000579/2025,TSE,2025-03-27,72960.0,92,Compras,355000,16.12,DEMAIS,0,1,0,4.86568,6,0,0,0.0,0,0,0
00509018000113-2-000580/2025,TSE,2025-03-27,1440.0,162,Serviços,500000,17.52,MICRO EMPRESA,1,1,0,347.222222,106,0,0,0.0,0,0,0
00509018000113-2-000596/2025,TSE,2025-03-28,571939.2,730,Serviços,700000,33.53,DEMAIS,,1,0,1.223906,3,2,0,0.0,0,0,0
00509018000113-2-000597/2025,TSE,2025-03-27,3398.5,279,Compras,110000,31.75,EMPRESA DE PEQUENO PORTE,0,1,0,32.367221,5,0,0,0.0,0,0,0
00509018000113-2-000606/2025,TSE,2025-03-27,13750.0,19,Compras,250000,21.67,EMPRESA DE PEQUENO PORTE,0,1,0,18.181818,2,0,0,0.0,0,0,0
00509018000113-2-000613/2025,TSE,2025-03-31,5278.5,275,Serviços,1000,2.54,MICRO EMPRESA,1,1,0,0.189448,2,0,0,0.0,0,0,0
00509018000113-2-000541/2025,TSE,2025-03-20,538.68,286,Compras,5000,8.41,MICRO EMPRESA,1,1,0,9.281948,2,0,0,0.0,0,0,0
